Length,Mean
100,0.001006963780000
200,0.007814016900000
300,0.023411919950000
400,0.053071309490000
500,0.100419041430000
600,0.169547360050000
700,0.267293502550000
800,0.399461399460000
900,0.578806920620000
1000,0.800437301350000
